Issue Type,Summary,Description,Status,Priority,Labels,Assignee,Created,Updated,Issue Key
Story,"feat: Extract theme settings into dedicated header menu","## Summary Move Theme Color and Dark Mode settings from the Settings page into a dedicated theme menu in the header, improving UX and organization. ## Changes Needed ### Header Updates - [x] Add new theme menu icon (palette) next to account picture in header - [x] Create theme menu component with Theme Color and Dark Mode options - [x] Position theme menu appropriately in header layout ### Settings Page Restructuring - [x] Remove Theme Color and Dark Mode settings from Settings page - [x] Rename ""Settings"" menu item to ""Security"" - [x] Change Settings menu icon from gear to padlock icon - [x] Keep password, 2FA, and passkey settings in Security page ### Components to Create/Update - [x] New ThemeMenu component for header - [x] Extract theme-related logic from current Settings page - [x] Update AppLayout/header components - [x] Update navigation menu items ## Acceptance Criteria - [x] Theme settings are accessible via dedicated header menu (palette icon) - [x] Settings page is renamed to Security with padlock icon - [x] Security page contains only security-related settings - [x] Theme menu positioning doesn't interfere with account menu - [x] All existing theme functionality preserved ## Additional Improvements - [x] Updated profile page password change link to point to security page - [x] Used palette icon instead of gear for better UX (more intuitive for themes) ## Technical Notes - Follow existing component patterns in `src/components/` - Maintain theme context integration - Ensure proper accessibility for new menu - Update any relevant documentation/comments This improves the UX by putting theme controls in a more accessible location while organizing security settings separately.",Done,High,"enhancement",,2025-08-21,2025-08-21,GH-379
Task,"Clean up GitHub Actions workflows and fix deployment type logic","## Problem Our GitHub Actions workflows have accumulated over time and need cleanup to reduce confusion and improve maintainability. Key issues: ### 1. Redundant Migration Logic - `deploy-production-enhanced.yml` has `automated-migrations` deployment type that runs both worker AND migrations - `automated-migrations.yml` standalone workflow does essentially the same database migration work - The `automated-migrations` deployment type should only run database migrations, not workers ### 2. Workflow Proliferation - Multiple workflows may be outdated from previous enhancements/fixes - Some workflows might no longer be needed - Need to audit and clean up obsolete workflows ### 3. Inconsistent Behavior - `automated-migrations` deployment type currently triggers worker deployment (line 210 condition) - Should only run migrations for this deployment type - `full-deployment` should be the only option that runs both worker + migrations ## Proposed Solution ### Phase 1: Fix Production Enhanced Workflow - Fix `automated-migrations` deployment type to only run database migrations (no worker deployment) - Ensure all safeguards from standalone workflow are included in enhanced workflow - Keep standalone `automated-migrations.yml` for detailed migration work/testing ### Phase 2: Workflow Audit - Review all GitHub Actions workflows - Identify obsolete/redundant workflows from previous features - Clean up workflows that are no longer needed ## Acceptance Criteria - [ ] `automated-migrations` deployment type only runs database migrations - [ ] `full-deployment` runs worker + migrations + frontend - [ ] Standalone migration workflow remains for detailed work - [ ] All migration safeguards are preserved in enhanced workflow - [ ] Obsolete workflows are identified and removed - [ ] Documentation is updated to reflect changes ## Files to Review - `.github/workflows/deploy-production-enhanced.yml` - `.github/workflows/deploy-staging-enhanced.yml` - `.github/workflows/automated-migrations.yml` - All other `.github/workflows/*.yml` files for cleanup opportunities",Done,Low,"",,2025-08-20,2025-08-20,GH-376
Task,"Enhance production deployment workflow with frontend control options","## Overview Currently, the production deployment workflow has 3 deployment options but none trigger Netlify frontend builds. This enhancement adds granular control over frontend deployments within the existing production workflow. ## Current State **Deployment Options:** - `worker-only` - Deploys Cloudflare Worker only - `automated-migrations` - Deploys worker + runs database migrations - `full-deployment` - Deploys worker + migrations (currently same as automated-migrations) **Issue:** Frontend deployments happen automatically via Netlify's Git integration on pushes to main/staging, which wastes resources when deploying backend-only changes. ## Proposed Enhancement ### 1. Add Fourth Option: `frontend-only` - Deploy ONLY the frontend to Netlify (no worker, no migrations) - Perfect for frontend-only changes like UI updates, new components, styling ### 2. Enhance `full-deployment` Option - **Current:** Worker + Migrations - **Enhanced:** Worker + Migrations + Frontend Build Trigger - Complete deployment of all application components ### 3. Technical Implementation - Use Netlify build hooks to trigger frontend deployments from GitHub Actions - Add production/staging build hook URLs as GitHub Secrets - Integrate with existing safety checks and verification flows - Maintain all current deployment safety features ## Benefits - ⚡ **Efficiency**: Deploy only what you need (backend vs frontend vs both) - 💰 **Resource savings**: Avoid unnecessary Netlify build minutes - 🎯 **Granular control**: Choose exactly which components to deploy - 🔧 **Flexibility**: Frontend-only deployments for UI-focused work - 📈 **Better workflow**: Single interface for all deployment scenarios ## Acceptance Criteria - [ ] Add `frontend-only` deployment option - [ ] Enhance `full-deployment` to include frontend build trigger - [ ] Integrate Netlify build hooks with GitHub Actions - [ ] Add frontend deployment verification - [ ] Update staging workflow with same options - [ ] Maintain all existing safety checks and confirmations - [ ] Document new deployment options ## Related Workflows - Production: `.github/workflows/deploy-production-enhanced.yml` - Staging: `.github/workflows/deploy-staging-enhanced.yml` - Netlify config: `netlify.toml` ## Implementation Notes This builds upon the existing robust deployment infrastructure while adding fine-grained control over frontend deployments. All current safety measures (confirmations, staging checks, backups) remain intact.",Done,Low,"",tim-arnold,2025-08-20,2025-08-20,GH-371
Story,"Add comprehensive Terms of Use page and update Privacy Policy","## Overview LibraryCard needs comprehensive legal pages to clarify user rights, responsibilities, and data handling practices for our personal library management platform. ## Current State - ✅ Privacy Policy exists but needs updates for new features - ❌ Terms of Use page missing entirely ## Required Work ### Privacy Policy Updates - Update for 2FA/WebAuthn authentication features - Add OCR/Google Vision API data processing details - Include rating/review system data handling - Add multi-user environment and admin control details - Update cookie and local storage descriptions - Add data retention and deletion policies ### New Terms of Use Page - Create following existing privacy page structure - Define acceptable use policies for library management - Set usage limits and service restrictions - Clarify user responsibilities and admin powers - Include content policies for reviews and user-generated content - Add liability limitations and service availability terms - Define account termination conditions ### Navigation Updates - Add Terms of Use links to appropriate navigation components - Ensure both legal pages are accessible from footer/settings ## Acceptance Criteria - [ ] Privacy policy reflects all current LibraryCard features - [ ] Terms of use page created with comprehensive coverage - [ ] Both pages accessible via navigation - [ ] Content is clear and legally appropriate for personal library platform - [ ] Pages follow existing UI/UX patterns ## Technical Notes - Follow existing privacy page structure and Material UI patterns - Maintain consistency with LibraryCard branding and design - Ensure mobile responsiveness",To Do,Low,"",tim-arnold,2025-08-20,2025-08-20,GH-370
Bug,"Fix D1 schema backup failure in staging backup workflow","## Problem Description The staging backup workflow is failing at the schema backup step because Cloudflare D1 doesn't support SQLite dot commands like `.schema` in remote execution. ## Current Error ```bash wrangler d1 execute librarycard-db-staging-new --config=wrangler.staging-new.toml --env=staging --remote --command="".schema"" > database-schema-backup.sql || echo ""Schema backup failed"" # Result: Schema backup failed ``` ## Root Cause D1 only supports standard SQL commands, not SQLite-specific dot commands like `.schema`, `.tables`, etc. ## Proposed Solutions ### Option 1: Use sqlite_master queries Replace `.schema` with SQL queries to extract schema information: ```sql SELECT sql FROM sqlite_master WHERE type='table' ORDER BY name; ``` ### Option 2: Use PRAGMA commands ```sql PRAGMA table_list; -- For each table: PRAGMA table_info(table_name); ``` ### Option 3: Remove schema backup Since we maintain `schema.sql` in the repo and track changes via migrations, we could remove this step entirely. ## Impact - **Current**: Schema backup fails but data backup succeeds - **Priority**: Medium (not blocking production deployment) - **Affects**: All D1 backup workflows (staging, production) ## Acceptance Criteria - [ ] Schema backup completes successfully in staging workflow - [ ] Schema information is captured in a useful format - [ ] Apply same fix to production backup workflow - [ ] Test that fixed schema backup works end-to-end ## Files to Update - `.github/workflows/staging-cloudflare-backup.yml` - `.github/workflows/cloudflare-backup.yml` (production) - Any other backup workflows using `.schema` command ## Context Discovered during staging backup test as part of automated migration system validation before production deployment.",To Do,Low,"bug, enhancement",,2025-08-17,2025-08-17,GH-334
Story,"Create staging Netlify frontend backup workflow","## Problem Currently we have a single Netlify frontend backup workflow that was designed when staging and production shared the same Netlify project. Now that staging has moved to its own isolated Netlify project, we need separate backup workflows. ## Current State - ✅ Production Netlify backup exists (🌐 Production Netlify Frontend Backup) - ❌ No staging-specific Netlify backup workflow ## Required Changes 1. **Create staging Netlify backup workflow** - Use staging environment variables - Target staging Netlify project - Schedule separately from production - Store backups with staging-specific tags 2. **Environment differences to account for:** - Different NEXT_PUBLIC_API_URL (staging vs production) - Different Netlify project/site ID - Different backup retention/storage strategy ## Acceptance Criteria - [ ] Staging Netlify backup workflow created - [ ] Uses staging environment configuration - [ ] Stores backups in GitHub Releases with staging tags - [ ] Scheduled independently from production backups - [ ] Tested and working ## Priority Medium - Not blocking current production deployment work, but needed for complete staging environment isolation.",Done,Low,"enhancement",,2025-08-16,2025-08-19,GH-313
Story,"Check whether hotlinking to book cover images is withing TOS for Google Books and OpenLibrary","",To Do,Medium,"",,2025-08-16,2025-08-16,GH-283
Story,"Optional Visual Enhancement Future Improvements","# Optional Visual Enhancement Future Improvements **Context**: The core visual enhancement project (#258, #263, #264, #169) has been **successfully completed** and exceeded its original scope. The interface has been fully transformed from ""monochromatic and dull"" to a modern, vibrant design with 6 theme variants and enterprise-grade accessibility. This issue captures **optional future enhancements** that could add additional polish and features, but are not required for the core visual transformation goals. ## Core Achievement Status ✅ - ✅ **Visual transformation complete**: Modern, vibrant interface achieved - ✅ **6 theme variants implemented**: Indigo, Forest Green, Crimson Red, Ocean Blue, Royal Purple, Golden Amber - ✅ **Accessibility excellence**: WCAG 2.1 AA compliance achieved - ✅ **Component modernization**: All core components enhanced with hover effects and interactions - ✅ **Typography system**: Google Fonts with proper semantic hierarchy - ✅ **Interactive enhancements**: Comprehensive micro-interactions and transitions ## Optional Future Enhancements 🚀 ### Priority: Low (Polish & Enhancement) ### 1. Advanced Book Visual Effects - **3D Book Cover Hover Effects**: Optional 3D hover transformations (`scale(1.02) rotateY(-2deg)`) for book covers - **Enhanced Book Card Animations**: Sophisticated hover transitions and depth effects ### 2. Seasonal & Dynamic Theming - **Seasonal Theme Variations**: Holiday and seasonal color adjustments (Christmas, Halloween, Spring, etc.) - **Dynamic Theme Elements**: Time-based theme adjustments (darker themes for evening, lighter for morning) ### 3. Advanced Loading & Animation System - **Enhanced Skeleton Loaders**: More sophisticated loading animations with better visual feedback - **Content Transition Animations**: Fade-in animations for content loading and route transitions - **Micro-interaction Polish**: Additional subtle animations for user feedback ### 4. User Customization Features - **Custom Accent Colors**: Allow users to choose custom accent colors beyond the 6 theme variants - **Theme Marketplace**: Community-created theme variations and sharing - **Advanced Theme Builder**: In-app theme customization tools ### 5. Genre & Content-Based Theming - **Genre-based Color Coding**: Different color schemes for different book categories - **Dynamic Genre Themes**: Contextual theming based on the books being viewed - **Category Visual Differentiation**: Enhanced visual coding for fiction vs non-fiction, etc. ### 6. Enhanced Data Visualization - **Reading Progress Visualization**: Enhanced progress indicators and reading statistics - **Analytics Dashboard Theming**: Theme-aware charts and data visualization components - **Interactive Progress Elements**: Animated progress bars and achievement indicators ### 7. Social & Sharing Enhancements - **Social Features**: Enhanced sharing and community features with theme-aware design - **Profile Customization**: User profile themes and visual customization options ## Implementation Notes - **Performance**: All enhancements should maintain existing enterprise-grade performance benchmarks - **Accessibility**: Must maintain WCAG 2.1 AA compliance - **Backward Compatibility**: All existing functionality and themes must remain unchanged - **Progressive Enhancement**: Features should gracefully degrade for older browsers ## Success Criteria These are **optional enhancements** - the core visual transformation project is already complete and successful. Any of these items could be implemented as standalone improvements when time and priorities allow. ## Related Issues - Closes: None (these are optional future improvements) - Related: #258 (completed core visual enhancement project)",Done,Low,"enhancement",tim-arnold,2025-08-14,2025-08-19,GH-274
Story,"Switch ""Analytics"" and ""Notifications tabs","Make Notifications the default tab",To Do,Medium,"",,2025-08-14,2025-08-14,GH-273
Story,"Inconsistent checkout flow for already-checked-out books","## Problem When attempting to check out a book that is already checked out by someone else, the system shows inconsistent behavior: 1. **Initial prompt**: Shows alert ""Check out '[bookname]'? You'll be marked as the current reader."" - This suggests the action will succeed 2. **Actual result**: After clicking proceed, shows error ""Book is already checked out"" - The action fails ## Current Behavior The checkout flow misleadingly suggests the user can take over as the current reader, but then blocks the action entirely. ## Discussion Needed We previously decided this was functionality we wanted to support (allowing users to ""take over"" checked-out books), but we should reconsider: **Option A: Allow takeover** - Change backend to actually allow the checkout to succeed - User becomes the new ""current reader"" - Previous reader loses checkout status - Pro: Matches the current UI messaging - Con: Could cause confusion/conflict between users **Option B: Block takeover** - Change the initial prompt to clearly indicate the book is unavailable - Don't suggest the action will succeed - Pro: Clear, prevents user conflicts - Con: Less flexible for legitimate use cases **Option C: Notify previous reader** - Allow takeover but send notification to previous reader - Add timestamp tracking for better conflict resolution - Pro: Best of both worlds - Con: More complex to implement ## Expected Outcome - [ ] Decide on intended behavior - [ ] Update UI messages to match chosen behavior - [ ] Update backend logic if necessary - [ ] Test the complete checkout flow ## Labels - bug (inconsistent UX) - enhancement (needs product decision) - discussion (team input needed)",To Do,Low,"",,2025-08-13,2025-08-13,GH-265
